Date,Price,Open,High,Low,Volume,Chg%
2023-09-25,206.20,207.30,212.50,204.60,1.00K,-0.24%
2023-09-22,206.70,206.90,208.65,205.45,1.33K,0.15%
2023-09-21,206.40,206.25,206.85,204.90,1.94K,-0.24%
2023-09-20,206.90,204.90,207.05,204.50,2.93K,0.93%
2023-09-19,205.00,204.10,205.35,203.60,1.17K,0.34%
2023-09-18,204.30,202.25,204.40,201.90,1.95K,0.89%
2023-09-15,202.50,204.80,205.35,202.15,2.06K,-0.81%
2023-09-14,204.15,202.95,204.75,202.65,1.94K,0.84%
2023-09-13,202.45,201.30,202.95,201.20,1.18K,0.52%
2023-09-12,201.40,202.25,202.50,201.10,0.80K,-0.25%
2023-09-11,201.90,200.50,202.20,200.50,1.36K,0.92%
2023-09-08,200.05,200.70,201.05,199.70,1.32K,-0.69%
2023-09-07,201.45,201.25,201.60,200.40,1.20K,-0.02%
2023-09-06,201.50,201.05,203.00,201.05,1.63K,0.25%
2023-09-05,201.00,202.55,202.55,200.05,1.08K,-0.27%
2023-09-04,201.55,202.70,203.25,200.95,1.66K,-1.01%
2023-09-01,203.60,202.75,204.35,202.75,2.04K,-0.24%
2023-08-31,204.10,204.05,204.10,204.05,0.00K,1.77%
2023-08-30,200.55,197.45,198.90,197.40,0.03K,0.00%
2023-08-29,200.55,196.20,196.20,196.20,0.00K,0.00%
2023-08-28,200.55,201.20,202.15,200.45,0.10K,0.30%
2023-08-25,199.95,198.35,202.80,197.10,0.91K,0.83%
2023-08-24,198.30,199.10,199.15,197.95,1.27K,-0.38%
2023-08-23,199.05,198.50,200.30,198.20,1.49K,-0.05%
2023-08-22,199.15,197.25,199.45,197.20,1.59K,0.81%
2023-08-21,197.55,197.45,198.00,196.35,1.28K,0.05%
2023-08-18,197.45,197.70,198.20,196.80,0.95K,0.15%
2023-08-17,197.15,196.35,199.50,195.30,1.91K,0.03%
2023-08-16,197.10,197.20,198.00,196.55,1.09K,-0.23%
2023-08-14,197.55,197.05,198.40,197.00,0.91K,-0.48%
2023-08-11,198.50,200.35,200.60,197.55,1.67K,-1.02%
2023-08-10,200.55,200.85,201.80,200.10,1.89K,-0.05%
2023-08-09,200.65,201.10,201.80,200.35,1.73K,0.05%
2023-08-08,200.55,201.70,202.15,199.80,2.11K,-0.84%
2023-08-07,202.25,201.55,202.75,201.30,1.38K,0.02%
2023-08-04,202.20,202.00,202.40,200.25,2.12K,0.25%
2023-08-03,201.70,200.25,202.00,199.70,2.23K,0.75%
2023-08-02,200.20,202.30,202.65,199.80,2.22K,-1.26%
2023-08-01,202.75,204.05,204.55,202.15,2.12K,-0.20%
2023-07-31,203.15,202.90,203.40,202.90,0.00K,2.27%
2023-07-28,198.65,200.00,200.00,197.00,0.04K,-0.23%
2023-07-27,199.10,198.00,202.00,198.00,0.01K,0.00%
2023-07-26,199.10,197.50,202.05,196.75,0.01K,0.08%
2023-07-25,198.95,196.40,199.70,196.20,0.99K,1.63%
2023-07-24,195.75,196.70,196.70,194.65,1.95K,-0.48%
2023-07-21,196.70,196.85,197.10,195.85,0.96K,0.20%
2023-07-20,196.30,196.80,197.75,195.90,1.43K,-0.05%
2023-07-19,196.40,197.35,197.60,196.00,1.22K,-0.61%
2023-07-18,197.60,199.50,199.90,197.45,1.55K,-1.05%
2023-07-17,199.70,201.65,201.65,198.65,1.51K,-0.97%
2023-07-14,201.65,202.85,203.20,200.85,1.67K,-0.10%
2023-07-13,201.85,200.25,202.00,199.10,2.28K,1.10%
2023-07-12,199.65,196.90,199.80,196.45,2.35K,1.50%
2023-07-11,196.70,196.15,197.90,196.15,1.72K,0.36%
2023-07-10,196.00,195.80,196.40,195.60,0.78K,0.15%
2023-07-07,195.70,196.00,196.00,195.00,1.20K,0.20%
