Date,Price,Volume,Open,High,Low
12/14/2023,71.58,237264,69.85,72.46,69.54
12/13/2023,69.47,259977,68.73,69.89,67.71
12/12/2023,68.61,290229,71.43,71.96,68.22
12/11/2023,71.32,241186,71.15,71.81,70.35
12/08/2023,71.23,271568,69.76,71.63,69.50
12/07/2023,69.34,299256,69.28,70.48,68.80
12/06/2023,69.38,408185,72.10,72.60,69.11
12/05/2023,72.32,332968,73.30,74.12,72.02
12/04/2023,73.04,366721,74.58,74.24,72.97
12/01/2023,74.07,333724,75.59,76.76,73.93
11/30/2023,75.96,538679,77.75,77.07,75.05
11/29/2023,77.86,303854,76.56,78.09,75.67
11/28/2023,76.41,270454,75.07,77.02,74.64
11/27/2023,74.86,267819,75.31,76.06,74.51
11/24/2023,75.54,263845,76.79,77.09,75.07
11/22/2023,77.10,369718,77.77,77.15,73.79
11/21/2023,77.77,222711,77.65,77.92,76.92
11/20/2023,77.60,17864,75.65,78.22,75.65
11/17/2023,75.89,48295,72.97,75.84,75.76
11/16/2023,72.90,93825,76.60,72.94,72.90
11/15/2023,76.66,246829,78.17,78.77,76.31
11/14/2023,78.21,231800,78.53,79.77,77.79
11/13/2023,78.26,226904,77.15,78.64,76.21
11/10/2023,77.17,241681,75.59,77.73,75.31
11/09/2023,75.74,276933,75.65,77.16,75.21
11/08/2023,75.33,395546,77.12,77.53,74.91
11/07/2023,77.37,365360,80.93,81.05,77.09
11/06/2023,80.82,250985,81.13,82.02,80.73
11/03/2023,80.51,425073,82.58,83.60,80.10
11/02/2023,82.46,288149,80.82,82.83,80.22
11/01/2023,80.44,300150,81.48,83.42,80.30
10/31/2023,81.02,322780,82.59,83.37,80.74
10/30/2023,82.31,333657,85.00,84.79,81.82
10/27/2023,85.54,315049,83.53,85.90,83.10
10/26/2023,83.21,316379,85.37,85.59,82.56
10/25/2023,85.39,404371,83.69,85.56,84.64
10/24/2023,83.74,342750,86.15,85.88,82.94
10/23/2023,85.49,298666,88.00,86.15,86.01
10/20/2023,88.75,20066,90.28,90.78,88.33
10/19/2023,89.37,38532,88.24,90.68,86.60
10/18/2023,88.32,72485,87.81,89.88,87.20
10/17/2023,87.71,172652,87.06,87.75,85.60
10/16/2023,86.66,214003,87.72,88.33,86.32
10/13/2023,87.72,328180,83.51,87.83,83.35
10/12/2023,82.91,341323,83.20,85.20,82.31
10/11/2023,83.49,386418,85.96,86.51,83.11
10/10/2023,85.97,312491,86.43,86.74,85.12
10/09/2023,86.38,404565,85.25,87.24,84.67
10/06/2023,82.79,431774,82.28,83.28,81.50
10/05/2023,82.31,435570,84.45,84.92,82.15
10/04/2023,84.22,434550,89.42,89.59,84.16
10/03/2023,89.23,329153,88.67,90.27,87.76
10/02/2023,88.82,313370,90.82,91.88,88.46
09/29/2023,90.79,330815,91.76,93.10,90.35
09/28/2023,91.71,388290,93.78,95.03,91.39
09/27/2023,93.68,480619,90.53,94.17,90.40
09/26/2023,90.39,302385,89.88,90.74,88.19
09/25/2023,89.68,312103,90.55,90.83,89.03
09/22/2023,90.03,379104,89.62,91.33,89.31
09/21/2023,89.63,334768,89.30,90.98,88.37
09/20/2023,90.28,22148,91.55,91.98,89.87
09/19/2023,91.20,63336,92.22,93.74,91.07
09/18/2023,91.48,102752,91.20,92.43,90.75
09/15/2023,90.77,291843,90.67,91.23,89.22
09/14/2023,90.16,291909,88.81,90.79,88.68
09/13/2023,88.52,311517,88.75,89.64,88.29
09/12/2023,88.84,313171,87.27,89.37,87.22
09/11/2023,87.29,273708,87.40,88.15,86.71
09/08/2023,87.51,270972,86.78,87.95,86.15
09/07/2023,86.87,254899,87.54,87.74,86.39
09/06/2023,87.54,288225,86.72,88.08,85.93
09/05/2023,86.69,430436,86.22,88.07,86.22
09/01/2023,85.55,389406,83.63,86.06,83.46
08/31/2023,83.63,342025,81.70,83.69,81.48
08/30/2023,81.63,285157,81.29,82.05,80.88
08/29/2023,81.16,271757,79.98,81.41,79.34
08/28/2023,80.10,231432,80.15,80.87,79.61
08/25/2023,79.83,390068,78.88,80.31,78.14
08/24/2023,79.05,327437,78.57,79.28,77.59
08/23/2023,78.89,362913,79.64,79.91,77.62
08/22/2023,80.35,15125,80.80,80.99,80.10
08/21/2023,80.72,62736,81.43,82.47,80.61
08/18/2023,81.25,107629,80.04,81.61,79.59
08/17/2023,80.39,219331,79.25,81.08,78.95
08/16/2023,79.38,296040,81.23,81.43,79.05
08/15/2023,80.99,273420,82.52,82.91,80.40
08/14/2023,82.51,255763,83.09,83.20,81.76
08/11/2023,83.19,305685,82.83,83.81,82.23
08/10/2023,82.82,338277,84.25,84.89,82.58
08/09/2023,84.40,447598,82.88,84.65,82.67
08/08/2023,82.92,398075,82.53,83.08,79.90
08/07/2023,81.94,269555,82.82,83.30,81.52
08/04/2023,82.82,300390,81.73,83.24,81.51
08/03/2023,81.55,384148,79.77,81.86,78.69
08/02/2023,79.49,387414,82.05,82.43,79.05
08/01/2023,81.37,285657,81.73,82.22,80.59
07/31/2023,81.80,279501,80.65,82.00,80.13
07/28/2023,80.58,281119,79.84,80.71,79.07
07/27/2023,80.09,356880,78.90,80.60,78.87
07/26/2023,78.78,304773,79.34,79.77,78.55
07/25/2023,79.63,332536,78.85,79.90,78.29
07/24/2023,78.74,343931,77.01,79.28,76.44
07/21/2023,77.07,287769,75.70,77.29,75.69
07/20/2023,75.63,15719,75.35,76.15,74.72
07/19/2023,75.35,53014,75.84,76.97,75.07
07/18/2023,75.75,98121,74.18,75.96,73.88
07/17/2023,74.15,217420,75.02,76.09,73.84
07/14/2023,75.42,260693,77.16,77.30,75.11
07/13/2023,76.89,354764,75.85,77.33,75.32
07/12/2023,75.75,330342,74.83,76.15,74.67
07/11/2023,74.83,300150,73.19,74.96,72.98
07/10/2023,72.99,279846,73.86,74.15,72.67
07/07/2023,73.86,340596,71.89,73.92,71.19
07/06/2023,71.80,376361,71.80,72.34,70.22
07/05/2023,71.79,430013,70.15,72.17,69.90
07/03/2023,69.79,286227,70.45,71.77,69.69
06/30/2023,70.64,281966,69.82,71.04,69.53
06/29/2023,69.86,271262,69.25,70.60,68.93
06/28/2023,69.56,348491,68.01,69.73,67.05
06/27/2023,67.70,364478,69.49,70.15,67.50
06/26/2023,69.37,255921,69.84,70.11,68.71
06/23/2023,69.16,299260,69.53,69.65,67.35
06/22/2023,69.51,406893,72.43,72.65,68.93
06/21/2023,72.53,251474,70.90,72.72,70.80
06/20/2023,70.50,20140,71.45,72.09,69.65
06/16/2023,71.78,57602,70.55,71.89,69.95
06/15/2023,70.62,102956,68.70,70.96,67.97
06/14/2023,68.27,278748,69.35,70.49,68.07
06/13/2023,69.42,325189,67.31,69.83,67.15
06/12/2023,67.12,372965,70.27,70.33,66.80
06/09/2023,70.17,272769,70.94,71.77,70.10
06/08/2023,71.29,458432,72.47,71.65,69.94
06/07/2023,72.53,275610,71.56,73.19,71.01
06/06/2023,71.74,294183,71.99,72.33,70.13
06/05/2023,72.15,363658,75.03,74.34,71.73
06/02/2023,71.74,297490,70.21,72.17,70.00
06/01/2023,70.10,370599,67.60,71.07,67.51
05/31/2023,68.09,411954,69.62,69.69,67.03
05/30/2023,69.46,419762,73.23,73.55,69.02
05/26/2023,72.67,240781,71.89,73.05,71.49
